Id,Model,Price,Age,Mfg_Month,Millage,HP,Automatic,CC,Doors,Cylinders,Gears,QuartTax,Weight
1,HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,10,46986,90,0,2000,3,4,5,210,1165
2,HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,10,72937,90,0,2000,3,4,5,210,1165
3, HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,9,41711,90,0,2000,3,4,5,210,1165
4,HONDA Civic 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,7,48000,90,0,2000,3,4,5,210,1165
5,HONDA Civic 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,3,38500,90,0,2000,3,4,5,210,1170
6,HONDA Civic 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,1,61000,90,0,2000,3,4,5,210,1170
7, HONDA Civic 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,6,94612,90,0,2000,3,4,5,210,1245
8,HONDA Civic 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,3,75889,90,0,2000,3,4,5,210,1245
9, HONDA Civic 1800 T SPORT VVT I 2/3-Doors,21500,27,6,19700,192,0,1800,3,4,5,100,1185
10, HONDA Civic 1.9 D HATCHB TERRA 2/3-Doors,12950,23,10,71138,69,0,1900,3,4,5,185,1105
11,HONDA Civic 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,8,31461,192,0,1800,3,4,6,100,1185
12,HONDA Civic 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,11,43610,192,0,1800,3,4,6,100,1185
13,HONDA Civic 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,8,32189,192,0,1800,3,4,6,100,1185
14,HONDA Civic 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,2,23000,192,0,1800,3,4,6,100,1185
15,HONDA Civic 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,1,34131,192,0,1800,3,4,6,100,1185
16,HONDA Civic 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,5,18739,192,0,1800,3,4,6,100,1185
17, HONDA Civic 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,3,34000,192,0,1800,3,4,5,100,1185
18, HONDA Civic 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,9,21716,110,0,1600,3,4,5,85,1105
19,HONDA Civic 1.6 16v L.SOL 2/3-Doors,16750,24,9,25563,110,0,1600,3,4,5,19,1065
20,HONDA Civic 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,3,64359,110,0,1600,3,4,5,85,1105
21, HONDA Civic 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,3,67660,110,0,1600,3,4,5,85,1105
22,HONDA Civic 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,4,43905,110,1,1600,3,4,5,100,1170
23,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,5,56349,110,0,1600,3,4,5,85,1120
24, HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,5,32220,110,0,1600,3,4,5,85,1120
25,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,4,25813,110,0,1600,3,4,5,85,1120
26,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,8,28450,110,0,1600,3,4,5,85,1120
27, HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,6,34545,110,0,1600,3,4,5,85,1120
28,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,4,41415,110,0,1600,3,4,5,85,1120
29,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,5,44142,110,0,1600,3,4,5,85,1120
30,HONDA Civic 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,3,11090,110,0,1600,3,4,5,85,1120
31, HONDA Civic 1.4 VVTI Linea Terra 2/3-Doors,12950,29,4,9750,97,0,1400,3,4,5,19,1100
32,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,11,35199,97,0,1400,3,4,5,85,1100
33,HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,6,29510,97,0,1400,3,4,5,85,1100
34, HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,7,32692,97,0,1400,3,4,5,85,1100
35, HONDA Civic 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,11,41000,97,0,1400,3,4,5,85,1100
